TEAM_ID,ABBREVIATION,NICKNAME,YEARFOUNDED,CITY,ARENA,ARENACAPACITY,OWNER,GENERALMANAGER,HEADCOACH,DLEAGUEAFFILIATION
1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,17500,Vivek Ranadive,Monte McNair,Doug Christie,Stockton Kings
1612709903,SLC,Stars,2016,Salt Lake City,Lifetime Activities Center-Bruin Arena,,Larry H. Miller Sports and Entertainment, ,Nathan Peavy,UTA
1610612759,SAS,Spurs,1976,San Antonio,Frost Bank Center,18694,Peter Holt,Brian Wright,Mitch Johnson,Austin Spurs
1612709924,SDC,Clippers,2017,San Diego,Frontwave Arena,0, ,Dee Brown,Paul Hewitt,LAC
1612709902,SCW,Warriors,1995,Santa Cruz,Kaiser Permanente Arena,,Golden State Warriors, ,Seth Cooper,GSW
1611661328,SEA,Storm,2000,Seattle,Climate Pledge Arena,17072,"Ginny Gilder, Dawn Trudeau, and Lisa Brummel",Talisa Rhea,Sonia Raman,
1612709904,SXF,Skyforce,1989,Sioux Falls,Sanford Pentagon,,"Bob Correa, Greg Heineman, Roger Larsen and Tom Wa", ,Kasib Powell,MIA
1612709905,SBL,Lakers,2006,Los Angeles,UCLA Health Training Center,,Los Angeles Lakers, ,Miles Simon,LAL
1612709914,STO,Kings,2008,Stockton,Adventist Health Arena,,Sacramento Kings, ,Bobby Jackson,SAC
1612709918,TEX,Legends,2006,Texas,Comerica Center,,"Texas D-League Management, LLC", ,George Galanopoulos,DAL
1610612761,TOR,Raptors,1995,Toronto,Scotiabank Arena,,Lawrence Tanenbaum,,Darko Rajakovic,Raptors 905
1610612762,UTA,Jazz,1974,Utah,Delta Center,,Ryan Smith,Justin Zanik,Will Hardy,Salt Lake City Stars
1612709934,VAL,Suns,2024,Valley,Mullett Arena,,, ,,PHX
1611661322,WAS,Mystics,1998,Washington,Entertainment & Sports Arena,20647,Ted Leonsis,,Sydney Johnson,
1610612764,WAS,Wizards,1961,Washington,Capital One Arena,20647,Ted Leonsis,Will Dawkins,Brian Keefe,Capital City Go-Go
1612709919,WES,Knicks,2014,Westchester,Westchester County Center,,The Madison Square Garden Company, ,Derrick Alston,NYK
1612709923,WCB,Bulls,2016,Windy City,Sears Centre,,Chicago Bulls, ,Henry Domercant,CHI
1612709927,WIS,Herd,2017,Wisconsin,Oshkosh Arena,, ,Dave Dean,Beno Udrih,MIL
